Name,Contact
RYANISYIA AIRCON & ELECTRICK SOLUTION,60183843714
FLY FORCE SDN BHD,601137921286
L&N ELECTRONIC SERVICE,60162926041
AIRCON K SERVICE,60166448253
SS RENO WORKS,60183738097
SYAIS VENTURES,60108208206
PA STAR ENTERPRISE,60183886212
SG GLOBAL RESOURCES ENTERPRISE,60163271611
CR ELECTRICAL SERVICES,601131381943
ADEPT SERVICE ENTERPRISE,60172963657
USG PROSERVICES SDN BHD,60102991790
DREAMCOOL ELECTRICAL SERVICES,60139963329
PAK WATTAN ENTERPRISE,60172255786
SKY MOVERS & ELECTRICAL SERVICE,60125806153
WACE RESOURCES,60163895625
SIFU STEEL WORK RENOVATION,60133138398
MV GENERAL SERVICES,60166350949
AIRSPACE CONCEPT SDN BHD,60193138138
MK RESOURCES,60166652015
SWH AIR-CONDITIONING SERVICE,601110085884
MEGA JUNIOR,60166203207
JSBW ENTERPRISE,60149237014
FAS MEGA ENGINEERING,60183694535
ADVANCE LA ENTERPRISE,60123895079
AI M&E SERVICES ( O172O8346O),60172083460
HASAZY ENTERPRISE,60195286695
REZEKI NABEELSOLUTION,60167217478
FAHY TECH,601128323323
BAQI RENOVATION,60196561937
BASRA RENOVATION ENTERPRISE,601114368566
M.NAVEED,601169882897
AFPM FIX & SERVICES,60193665580
MILLENIUM MAJU ENTERPRISE,60172521528
NUR LYANA BAPTIST BINTI ABDULLAH - HANDYFIXRENO,60183922562
WAJEHA ENTERPRISE,601163934335
JASHIM CONSTRUCTION SDN BHD,60173124201
BISMI MAJU 786 SERVICES,60184074351
SKY WIN MULTI ENTERPRISE,60189896271
ZK SERVICES,60182412302
ÛÂ ELECTRIC AND AIRCOND SERVICE'S,60137265902
JMP MAJU ENTERPRISE,60169336650
QSYS TECHNOLOGIES SDN BHD,60178242562
SAKURA OASIS SDN BHD,60182515742
MY HOME ELECTRICAL & AIRCOND SERVICE,601139988625
SALY SALINA ENTERPRISE,60172481247
MMK SOLUTION,601128798605
COMFYCOOL ENTERPRISE,60182502006
BAJWA RENOVATION ENTERPRISE,60125614219
JAZAR ELECTRICAL SERVICES,60169770546
NEW JM GLOBAL ENTERPRISE,60143600896
SIREH SAUJANA RESOURCES,60133991310
GLORY BUILDERS & HOUSE OF FASHION SDN BHD,601118976763
NORTHERN COOL,60125767191
RV CONSTRUCTION SDN BHD,60163534499
ECO CARE CLEANING SERVICES,601133269108
TANJUNG ELECTRICAL SERVICE,60164199906
AMALIENA CONSTRUCTION SDN BHD,60182750838
EXCAV INNOVATION PLT,60166258193
ALL-KHADIM,601116853562
EUNIQ CONCEPTS SDN BHD,60163210551
PEMBINAAN GEMILANG UTARA,601110931827
FETEY MAJU ENTERPRISE,601128141765
IDYLLIC RESOURCES,60182419008
MEXIMCO MARKETING,167360264
ZAID AFIQ BIN MASERI,60183637192
ARAIN EMPIRE RESOURCES,60187866914
S&E MAJU ENGINEERING,60107695275
COOOLZ AIRCON SERVICES,60182714066
ARADESA,60192112650
TF GREENTECH SDN BHD,60166992289
BILLIONMINE SOLUTIONS,601139991756
SKSK SERVICES & MAINTENANCE ENTERPRISE,60129616016
ATTA SHAM ENTERPRISE,60124244100
TIPTOP HOME BUILDERS,601139681403
LKD FACILITIES SOLUTION,60139559348
ANAS ELECTRICAL AND AIRCOND SERVICES,60102756027
UFG INTERNATIONAL SDN BHD,601112792372
BASIM MAHMOOD ENTERPRISE,60182982784
BC AIR CONDITIONING SERVICE,60182399275
RAZ EMPIRE SDN BHD,60166315720
MP KAVISHA MAJU ENTERPRISE,60147679007
WISE SERVICES,601160714645
HOME MAINTENANCE RENOVATION,601128344533
SMR TRANSPORT,601115102515
PAYES RESOURCES,60102871480
THE DUSTBOX SDN. BHD.,601548723232
KS MAINTENANCE AND SERVICES,60126258611
SOCOOL AIR CONDITIONING & ELECTRICAL SERVICES,601139928445
PEMBINAAN AZMI SAMSI,60123671995
ZHK ELECTRIC SERVICES,60168896988
YKM ELECTRICAL & AIR-COND SERVICES,60193852400
INTECH GLOBAL ELECTRICAL RESOURCES,601123337363
GO AIRCOND & ELECTRICAL SERVICE,60102815534
DC AIR CONDITION SERVICE,60182970530
N9 AIRCOND SERVICE,601110838688
MMA TEGUH GLOBAL VENTURES,60176208176
WOEIKO AIRCOND & ELECTRICAL SERVICES,60162778843
GLANCEMY ENTERPRISE,60192257890
SEPAKAT UPHM ENTERPRISE,60125980482
KMH ELECTRICAL SDN BHD,60146996118
DELTA VISION RESOURCES,60165207104
PENANG AIRCOND SERVICES,60194918713
HI TECH SKILL ENGINEERING,601157718759
JUPITER SS ENTERPRISE SSM (003041766V) CIDB (SL087528),60102303493
SHAH AIRCOND & ELECTRIC SERVICES,60174315585
MASTERZ MARKETING,60102608768
NAZZARO RENOVATION SDN BHD,601126945926
ES COOLAIR AIRCOND SERVICES,60198885856
AC COOL N COOL ENGINEERING,60163824522
AIRCON ELECTRIC SOLUTION,60169559529
EKSB RESOURCES,60182980860
HYSSOP ENTERPRISE,60126832600
KZ ENGINEERING AND CONSTRUCTION,601123451867
YANYU BROTHERS CONSTRUCTION,60162364409
HELINA AIRCOND AND ELECTRICAL ENTERPRISE,601151770468
STAR CLEANING SERVICES,60176844668
SEVEN STAR ENGINEERING SERVICES,601128027755
ARUS TENAGA GLOBAL ENTERPRISE,60135527511
TS PRO SERVICE,60182970402
GILL INTERPRISE,601128389635
MADA SERVICES,601110231212
F&F MULTI RESOURCES,60198297027
ZARA AIRCOND SPECIALIST,60146711752
FK SMART ENTERPRISE,60186669147
BINA PASIFIK SDN BHD,60193668776
PRESTASI CEMERLANG RESOURCES,60166700756
AYN BUILDER RESOURCES,60102959071
T&T RENOLABS SDN BHD,60168606625
AM WORKS,601172269133
MMK SOLUTIONS,601139017262
BEST SOLUTION RESOUR SDN BHD,60168006414
NAAJIHUN MAKMUR SDN BHD,60164465712
WENG COOL & ELECTRICAL,60196338228
COOL MORE SERVICES ENTERPRISE,60178850151
HIN CONSTRUCTION SDN BHD,60162193181
ACS COOLING SYSTEM SDN BHD,60178779509
AIRCON HERO,60182375162
ECO ELECTRICAL SERVICES SDN.BHD,60122983623
JEBAT SERVICE & ENTERPRISE,60199827402
SUNNY ELECTRIC AND AIRCOND SERVICES,601121227422
ERA ASLAM AIRCON SERVICES,601127370065
COOL CITY AIRCONDITIONING,60108222978
CRESCENT CLEANING SERVICE,60175313748
NURUL ZAKARIAH AIRCON SERVICE,601111629404
FLEXCON AIRCOND & ELETRICAL SERVICES,60196499998
BAYU UNGGUL AIRCON HOME REPAIRS,60182617876
EMAN AIRCOND ENTERPRISE,60198957108
WK SOLUTIONS ENTERPRISE,60125022164
GOLDBRICK SDN BHD,60149716431
S.E.R. TECHNOLOGY,60133379636
COOLIZER RESOURCES SDN BHD,60133223782
FA DIRECTION ENTERPRISE,60172233402
EJG SERVICES,60182341765
LOOK TOWER 9,60182413474
MR CITY CLEANER SERVICE,601128262696
LKT DELIMA RESOURCES,60182233981
SL EMPIRE,601111878776
DRURAT SOLUTION ENGINEERING,60183507610
HKIK AGENCY SDN BHD,601110039581
RAZA CONSTRUCTIONS,60108941904
SVASTI ZASANA ENTERPRISE,60149721275
DIAMOND GLOBAL ENGINEERING SERVICES,60143493532
ZS AIRCOND SERVICE & ELECTRICAL SOLUTIONS,60104258660
MUTEEB RENOVATION,601126002580
FBS OUTDOOR SDN BHD,60177465688
HOME LOVERS FURNITURE,60124816875
VANQUISH PROJECTS SDN BHD,60125211140
GENGAIRCOND,60129757454
GS ELECTRIC ENGINEERING SERVICES,60122766651
MR WIREMAN SDN BHD,60122366243
MAHAREKA CONSTRUCTION SDN BHD,60137032272
INVERTA SALES & SERVICES CO.,60198332134
FAT BUILDERS,60197228748
LABUAN AIR-COND. & REFRIGERATION SERVICES SDN. BHD.,60168131696
WONG'S AIR-CONDITIONER SERVICE CENTRE,60198157718
MAGMA RESOURCES ENGINEERING SDN BHD,60122965410
EUREQA DESIGN AND BUILD,60163237116
GREAT EAGLE ELECTRICAL & AIRCOND SERVICES,60127547271
ELECTRICAL SERVICES,60168427085
IXE ENTERPRISE ( AIR CONDITIONING SERVICES),601162124049
HARP SHENG CONSOLIDATED SDN BHD,60102022711
SWS CREATIVE BUILDER & INNOVATION,601116399729
ZIN HOME GRILLE AND RENOVATION,60127213038
VISTA TRIANGLE,60128853149
"AIRKOND - SALE, SERVICE, REPAIR",60133336359
KULITAS SDN BHD,601137957204
HA FA ELECTRICAL & AIRCOND SERVICE S/B,60163338658
PEMBINAAN CERIA,60174313955
BUILDNBERG SDN BHD,60124348910
FARALI IT SOLUTIONS SDN BHD,60143285400
DEGRAND CONSTRUCTION SDN. BHD.,60129085624
TAN WEI MENG,60126788376
WARA,60173702417
WAH LIP ELECTRICAL,60122716800
FAUZI AIRCOND & ELECTRICAL SERVICES,60139256078
CHENG SENG ELECTRONIC REPAIR SERVICE,60149199295
BIG GUGURL FAMILY ENTERPRISE,60146753254
EPUL RESOURCES,60143035060
S&K ELECTRICAL SERVICE,60106575786
STP CONSTRUCTION AND MANPOWER SDN BHD,60197733632
MTHS ENTERPRISE,60163696266
VERTICAL TRADING RESOURCES SDN BHD,60199159937
JES SQUASHES,60123933038
MILLENIUM MAJU ENTERPRISE,601113443508
SHENIDER POWER ENGINEERING,601163403630
NAIERA RESOURCES,60176641241
THREE SOLUTIONS SERVICES,60168769815
UKS TOTAL SOLUTIONS,60195670957
TOP COOL AIRCOND SERVICES,60162183210
VASANA HOME IMPROVEMENT SERVICE,60124439101
BUMIJAYA TECHNOLOGY,60146437023
MR EXPERT AIRCOND & ELECTRICAL SERVICE,60182803482
MIAN HOME SOLUTIONS,60182528496
